PATHROW	MIICA06_P1	MIICA11_P1	MIICA06_P2	MIICA11_P2	ExtraScene
2829	20060803	20110817	20070923	20111020	20110411
2830	20050309	20100408	20060803	20110817	
2831	20050309	20100408	20050901	20100830	20101001
2832	20060413	20100408	20060718	20110801	20101001
2833	20060413	20110411	20060718	20110801	20101001
2834	20060413	20110411	20060718	20110716	20101001
2835	20050731	20110716	20061006	20111004	20110105
2836	20050731	20100814	20060920	20111004	20110105
2837	20060413	20110411	20060920	20111004	20110105
2838	20060208	20101204	20060920	20111004	20110411
2839	20050426	20100424	20061123	20101204	20101001
2840	20050426	20100424	20061107	20101118	20101001
2841	20060718	20110801	20061107	20101204	20101001
2926	20050823	20110909	20061114	20101109	20110925
2927	20050823	20110824	20061114	20101109	20110909
2928	20060826	20110824	20061029	20111011	20110909
2929	20060709	20100805	20061013	20101008	20110909
2930	20060623	20100618	20061013	20101008	20110824
2931	20050807	20100821	20061013	20101008	20110824
2932	20050519	20110605	20061029	20101008	20110824
2933	20050519	20110605	20061029	20101008	20110824
2934	20050519	20110605	20061029	20101008	20110925
2935	20060725	20100720	20061013	20110925	20110128
2936	20060725	20110621	20060927	20110925	20110213
2937	20060725	20110707	20061013	20110925	20110213
2938	20050924	20100906	20070101	20110128	20110605
2939	20060927	20101008	20070101	20110128	20110605
2940	20050924	20101008	20070101	20110213	20110605
3026	20050713	20110730	20061004	20111002	20110628
3027	20061004	20111002	20070719	20110730	20100929
3028	20050830	20100913	20061105	20111103	20111002
3029	20050830	20100913	20061105	20111018	20100422
3030	20050830	20110730	20061105	20111018	20100913
3031	20050627	20100625	20061105	20101015	20100727
3032	20051118	20101202	20060716	20100727	20100711
3033	20060716	20100727	20061105	20101015	20100711
3034	20050830	20100828	20051118	20101031	20100727
3035	20050830	20100812	20051118	20101202	20111002
3036	20050830	20100812	20051118	20101202	20111002
3037	20050830	20100812	20051118	20101202	20111002
3038	20051001	20111002	20060206	20100217	20100929
3039	20051001	20111002	20060206	20100217	20100929
3040	20050323	20100217	20051001	20111018	20100929
3126	20050618	20110705	20051024	20101022	20110907
3127	20050618	20110705	20051024	20101022	20110907
3128	20050805	20100904	20051024	20101022	20110907
3129	20050618	20100616	20061027	20101006	20110907
3130	20060605	20110603	20061027	20101006	20110907
3131	20050805	20110822	20061027	20101006	20100904
3132	20061027	20111110	20070827	20110822	20100904
3133	20050720	20100803	20061027	20111110	20100904
3134	20051125	20101123	20060723	20100803	20100904
3135	20060808	20100803	20061128	20101123	20110923
3136	20060808	20100803	20061128	20101123	20110923
3137	20060824	20100904	20061128	20101123	20110923
3138	20050922	20100904	20060128	20110211	20100803
3139	20050922	20101006	20060128	20110110	20100803
3140	20050922	20101006	20060213	20110211	20111110
3226	20050422	20100420	20060714	20110712	20100826
3227	20050422	20100420	20050828	20100826	20100725
3228	20050828	20100826	20060425	20100420	20100725
3229	20050727	20100725	20051015	20111016	20100826
3230	20050828	20100826	20051015	20101013	20100725
3231	20050828	20100810	20051031	20101029	20100826
3232	20050828	20100810	20061119	20111101	20100623
3233	20050828	20100826	20061119	20111101	20100623
3234	20060730	20100826	20061119	20111016	20100623
3235	20050609	20100623	20051116	20101029	20111016
3236	20050609	20100522	20051116	20101029	20111016
3237	20050609	20100522	20051116	20101029	20111016
3238	20060220	20100303	20061002	20101013	20100522
3239	20060204	20110218	20061119	20101029	20111101
3326	20050920	20101004	20060806	20100817	20110905
3327	20050718	20100716	20050920	20101004	20110905
3328	20070622	20110703	20070809	20110905	20100716
3329	20050702	20100716	20050920	20101004	20110703
3330	20050702	20100716	20050920	20101004	20110703
3331	20050702	20100716	20050920	20101004	20110703
3332	20050702	20100716	20051022	20101020	20100817
3333	20050904	20100817	20051022	20101020	20100918
3334	20050803	20100817	20051022	20101020	20100918
3335	20050616	20110617	20051022	20101105	20100902
3336	20050702	20110617	20051022	20101105	20100902
3337	20050531	20100614	20051022	20101105	20111023
3338	20050702	20100614	20051022	20101105	20100902
3426	20060930	20111030	20070715	20110827	20100925
3427	20060829	20100925	20070715	20110827	20100808
3428	20060930	20111030	20070629	20100621	20100925
3429	20060930	20100925	20070629	20110624	20110827
3430	20060930	20110928	20070715	20110811	20110827
3431	20060728	20110811	20060930	20110928	20110827
3432	20060525	20110608	20060728	20090821	20110928
3433	20050911	20100925	20060525	20110608	20110928
3434	20060525	20110608	20071003	20110928	20111014
3435	20050522	20100520	20060930	20100925	20110624
3436	20060407	20110405	20061101	20101011	20110624
3437	20060509	20110507	20061016	20101011	20110624
3438	20050927	20101011	20060423	20110421	20110624
3526	20050801	20100730	20050902	20101002	20110818
3527	20050614	20100628	20050902	20101002	20110802
3528	20050614	20100628	20050902	20101002	20100730
3529	20050614	20100628	20050902	20101002	20100714
3530	20060516	20110615	20060905	20100916	20100714
3531	20060601	20100628	20060905	20110903	20110818
3532	20050716	20100815	20060601	20110615	20101002
3533	20060601	20110615	20060905	20110818	20101002
3534	20050918	20100916	20060617	20110701	20101002
3535	20060617	20110701	20061108	20101103	20111021
3536	20060617	20110615	20061108	20101103	20111021
3537	20060617	20110615	20061108	20101103	20111021
3538	20060617	20110615	20061108	20101103	20110919
3626	20050723	20110724	20060421	20100416	20110910
3627	20050723	20110724	20060421	20100416	20110910
3628	20050621	20110724	20060421	20100416	20110910
3629	20060421	20100416	20070830	20110910	20110724
3630	20050520	20110606	20060912	20110910	20110724
3631	20060421	20110505	20060912	20110910	20110724
3632	20060624	20110622	20060912	20100907	20100705
3633	20060624	20110622	20060912	20111012	20100705
3634	20060624	20110622	20060928	20111012	20100705
3635	20060523	20110505	20061030	20111012	20100705
