PWSID,all_violations,health_violations
NJ1021394,1,0
NJ1021402,4,2
NJ1021406,1,0
NJ1021408,3,2
NJ1021409,1,1
NJ1021412,1,1
NJ1021416,2,2
NJ1021433,1,1
NJ1021436,1,0
NJ1021437,2,0
NJ1021439,1,1
NJ1022305,13,0
NJ1022318,1,0
NJ1022329,1,0
NJ1022332,1,0
NJ1022333,1,0
NJ1022336,1,1
NJ1022338,1,0
NJ1022340,2,2
NJ1022342,1,0
NJ1022346,1,1
NJ1022354,3,0
NJ1022355,1,1
NJ1022357,17,0
NJ1022379,1,0
NJ1022384,52,0
NJ1022388,2,0
NJ1022389,2,0
NJ1023001,2,0
NJ1024318,2,2
NJ1024319,1,1
NJ1025307,4,3
NJ1025308,2,2
NJ1025318,3,3
NJ1025324,1,1
NJ1025329,1,0
NJ1025330,1,0
NJ1026300,15,0
NJ1026301,4,0
NJ1026302,2,2
NJ1026314,2,1
NJ1026320,1,0
NJ1101002,15,0
NJ1101303,4,3
NJ1101309,1,0
NJ1101316,1,0
NJ1101318,4,0
NJ1101322,2,0
NJ1101324,1,0
NJ1102304,1,0
NJ1102307,1,0
NJ1103001,1,0
NJ1103306,1,1
NJ1104001,1,0
NJ1106001,1,0
NJ1106002,34,0
NJ1106304,7,5
NJ1106305,1,0
NJ1106316,2,0
NJ1106317,1,0
NJ1106318,2,2
NJ1106319,1,1
NJ1106322,1,0
NJ1106329,3,2
NJ1106339,1,0
NJ1106345,1,1
NJ1106362,3,3
NJ1106363,1,1
NJ1106364,1,0
NJ1106367,3,2
NJ1106369,1,0
NJ1106370,2,1
NJ1106385,4,1
NJ1106386,2,0
NJ1106392,1,0
NJ1106393,1,0
NJ1106394,23,0
NJ1106395,1,1
NJ1106402,6,1
NJ1106404,3,0
NJ1107324,1,1
NJ1107325,13,0
NJ1108001,39,0
NJ1108300,16,0
NJ1108301,18,0
NJ1110301,14,0
NJ1111001,2,1
NJ1113301,1,0
NJ1113308,1,0
NJ1202303,1,1
NJ1202305,2,0
NJ1202321,1,0
NJ1204001,3,0
